GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AppointmentSystem,com.appointment.service,BookingService,12,360,12,48,3,92,12,28,0,10
AppointmentSystem,com.appointment.rules,CapacityRule,0,12,0,2,0,2,0,3,0,2
AppointmentSystem,com.appointment.rules,DurationRule,0,12,0,2,0,2,0,3,0,2
AppointmentSystem,com.appointment.app,Menu,60,278,13,35,20,97,13,18,1,1
AppointmentSystem,com.appointment.admin,Admin,0,45,0,4,0,14,0,6,0,4
AppointmentSystem,com.appointment.model,User,0,22,0,0,0,8,0,4,0,4
AppointmentSystem,com.appointment.model,TimeSlot,0,25,0,0,0,9,0,5,0,5
AppointmentSystem,com.appointment.model,AppointmentType,0,3,0,0,0,1,0,1,0,1
AppointmentSystem,com.appointment.model,Urgent,0,5,0,0,0,2,0,2,0,2
AppointmentSystem,com.appointment.model,Schedule,0,39,0,4,0,9,0,5,0,3
AppointmentSystem,com.appointment.model,Appointment,0,37,0,0,0,15,0,6,0,6
AppointmentSystem,com.appointment.notification,RealEmailNotification.new Authenticator() {...},16,0,0,0,2,0,2,0,2,0
AppointmentSystem,com.appointment.notification,EmailNotification,0,10,0,0,0,3,0,2,0,2
AppointmentSystem,com.appointment.notification,RealEmailNotification,67,9,0,0,18,4,1,1,1,1
